2024-06-12 20:59:01 0 [Note] Starting MariaDB 10.4.32-MariaDB source revision c4143f909528e3fab0677a28631d10389354c491 as process 15056
2024-06-12 20:59:01 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2024-06-12 20:59:01 0 [Note] InnoDB: Uses event mutexes
2024-06-12 20:59:01 0 [Note] InnoDB: Compressed tables use zlib 1.3
2024-06-12 20:59:01 0 [Note] InnoDB: Number of pools: 1
2024-06-12 20:59:01 0 [Note] InnoDB: Using SSE2 crc32 instructions
2024-06-12 20:59:01 0 [Note] InnoDB: Initializing buffer pool, total size = 16M, instances = 1, chunk size = 16M
2024-06-12 20:59:01 0 [Note] InnoDB: Completed initialization of buffer pool
2024-06-12 20:59:01 0 [Note] InnoDB: Starting crash recovery from checkpoint LSN=300288
2024-06-12 20:59:01 0 [Warning] InnoDB: Are you sure you are using the right ib_logfiles to start up the database? Log sequence number in the ib_logfiles is 300288, less than the log sequence number in the first system tablespace file header, 763643.
2024-06-12 20:59:01 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=231] with future log sequence number 308034
2024-06-12 20:59:01 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=368] with future log sequence number 308034
2024-06-12 20:59:01 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=230] with future log sequence number 307990
2024-06-12 20:59:01 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=367] with future log sequence number 307990
2024-06-12 20:59:01 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=229] with future log sequence number 307946
2024-06-12 20:59:01 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=366] with future log sequence number 307946
2024-06-12 20:59:01 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=228] with future log sequence number 307902
2024-06-12 20:59:01 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=365] with future log sequence number 307902
2024-06-12 20:59:01 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=227] with future log sequence number 307858
2024-06-12 20:59:01 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=364] with future log sequence number 307858
2024-06-12 20:59:01 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=226] with future log sequence number 307814
2024-06-12 20:59:01 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=363] with future log sequence number 307814
2024-06-12 20:59:01 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=225] with future log sequence number 307770
2024-06-12 20:59:01 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=362] with future log sequence number 307770
2024-06-12 20:59:01 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=224] with future log sequence number 307726
2024-06-12 20:59:01 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=361] with future log sequence number 307726
2024-06-12 20:59:01 0 [Warning] InnoDB: Ignoring a doublewrite copy of page [page id: space=0, page number=223] with future log sequence number 307666
